                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.59283,                 1.2924,                 1.2338,                0.81801,                  0.875,                   0.97,                0.84455,                0.55856,                 1.9789,                 1.2564,             0.00032194,             0.00032194,             0.00032194
                     77,                0.56729,                 1.0533,                 1.2205,                0.81801,                  0.875,                   0.97,                0.84455,                0.55856,                 1.9789,                 1.2564,             0.00031369,             0.00031369,             0.00031369
                     78,                0.66985,                 1.3397,                 1.3326,                0.86341,                0.98754,                  0.995,                0.96585,                0.43712,                 1.9773,                 1.1997,             0.00030511,             0.00030511,             0.00030511
                     79,                0.60007,                 1.1137,                 1.3296,                0.86341,                0.98754,                  0.995,                0.96585,                0.43712,                 1.9773,                 1.1997,              0.0002962,              0.0002962,              0.0002962
                     80,                0.63327,                 1.3235,                 1.2649,                0.86341,                0.98754,                  0.995,                0.96585,                0.43712,                 1.9773,                 1.1997,             0.00028696,             0.00028696,             0.00028696
                     81,                0.64009,                 1.3912,                 1.3129,                0.90155,                0.98711,                  0.995,                0.98252,                 0.4488,                 2.0246,                  1.207,             0.00027739,             0.00027739,             0.00027739
                     82,                0.58528,                 1.0148,                 1.2069,                0.90155,                0.98711,                  0.995,                0.98252,                 0.4488,                 2.0246,                  1.207,             0.00026749,             0.00026749,             0.00026749
                     83,                0.66033,                 1.1882,                 1.2213,                0.90155,                0.98711,                  0.995,                0.98252,                 0.4488,                 2.0246,                  1.207,             0.00025726,             0.00025726,             0.00025726
                     84,                 0.4487,                0.86088,                 1.0755,                 0.9261,                0.99029,                  0.995,                0.95129,                0.49259,                 1.9824,                 1.2865,              0.0002467,              0.0002467,              0.0002467
                     85,                0.50183,                 1.0739,                 1.0852,                 0.9261,                0.99029,                  0.995,                0.95129,                0.49259,                 1.9824,                 1.2865,             0.00023581,             0.00023581,             0.00023581
                     86,                0.67413,                 1.1621,                 1.1305,                 0.9261,                0.99029,                  0.995,                0.95129,                0.49259,                 1.9824,                 1.2865,             0.00022459,             0.00022459,             0.00022459
                     87,                0.70852,                 1.3928,                 1.3149,                 0.9261,                0.99029,                  0.995,                0.95129,                0.49259,                 1.9824,                 1.2865,             0.00021304,             0.00021304,             0.00021304
                     88,                0.56018,                 1.0625,                 1.2005,                0.93307,                      1,                  0.995,                0.93263,                0.47513,                 1.8743,                 1.2583,             0.00020116,             0.00020116,             0.00020116
                     89,                0.47597,                0.95578,                 1.0599,                0.93307,                      1,                  0.995,                0.93263,                0.47513,                 1.8743,                 1.2583,             0.00018894,             0.00018894,             0.00018894
                     90,                0.56757,                 1.0672,                 1.1122,                0.93307,                      1,                  0.995,                0.93263,                0.47513,                 1.8743,                 1.2583,              0.0001764,              0.0001764,              0.0001764
                     91,                0.81724,                 1.9353,                   1.52,                0.93307,                      1,                  0.995,                0.93263,                0.47513,                 1.8743,                 1.2583,             0.00016353,             0.00016353,             0.00016353
                     92,                0.70378,                 2.1611,                 1.3701,                0.95121,                      1,                  0.995,                0.91612,                0.42102,                 1.8116,                 1.2094,             0.00015033,             0.00015033,             0.00015033
                     93,                0.54149,                 1.6781,                 1.2707,                0.95121,                      1,                  0.995,                0.91612,                0.42102,                 1.8116,                 1.2094,              0.0001368,              0.0001368,              0.0001368
                     94,                0.51319,                 1.7809,                 1.2507,                0.95121,                      1,                  0.995,                0.91612,                0.42102,                 1.8116,                 1.2094,             0.00012294,             0.00012294,             0.00012294
                     95,                0.38889,                 1.5279,                 1.1402,                0.95121,                      1,                  0.995,                0.91612,                0.42102,                 1.8116,                 1.2094,             0.00010875,             0.00010875,             0.00010875
                     96,                0.36569,                 1.6124,                 1.1172,                0.95163,                      1,                  0.995,                0.93687,                0.37984,                 1.7986,                  1.161,             9.4227e-05,             9.4227e-05,             9.4227e-05
                     97,                0.74641,                 1.8815,                  1.372,                0.95163,                      1,                  0.995,                0.93687,                0.37984,                 1.7986,                  1.161,             7.9376e-05,             7.9376e-05,             7.9376e-05
                     98,                0.41106,                 1.3327,                 1.0573,                0.95163,                      1,                  0.995,                0.93687,                0.37984,                 1.7986,                  1.161,             6.4195e-05,             6.4195e-05,             6.4195e-05
                     99,                0.32908,                 1.4069,                 1.0183,                0.95163,                      1,                  0.995,                0.93687,                0.37984,                 1.7986,                  1.161,             4.8683e-05,             4.8683e-05,             4.8683e-05
                    100,                0.38855,                  1.429,                 1.1163,                0.95381,                      1,                  0.995,                0.95765,                0.34104,                 1.7701,                 1.1301,             3.2842e-05,             3.2842e-05,             3.2842e-05
